,place_id,licence,osm_type,osm_id,boundingbox,lat,lon,display_name,class,type,importance,icon
54865,130900549.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,128179308.0,"['-8.36959', '-8.3691952', '-74.5472651', '-74.5460894']",-8.36959,-74.5472651,"Calle 1, Fray Martín, Pucallpa, Callería, Coronel Portillo, Ucayali, 250105, Perú",highway,residential,0.5,
56480,130900549.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,128179308.0,"['-8.36959', '-8.3691952', '-74.5472651', '-74.5460894']",-8.36959,-74.5472651,"Calle 1, Fray Martín, Pucallpa, Callería, Coronel Portillo, Ucayali, 250105, Perú",highway,residential,0.6,
69243,135598356.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,148119118.0,"['-8.3836828', '-8.3829641', '-74.5509072', '-74.5506984']",-8.3836828,-74.5506984,"Pasaje San Miguel, Micaela Bastidas, Fray Martín, Pucallpa, Callería, Coronel Portillo, Ucayali, 25000, Perú",highway,residential,0.7000000000000001,
74831,170499755.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,286645944.0,"['-8.3855327', '-8.3824841', '-74.5323757', '-74.5280474']",-8.383775,-74.5305251,"Jirón Tarapacá, Centro Urbano de Pucallpa, Pucallpa, Callería, Coronel Portillo, Ucayali, 25001, Perú",highway,tertiary,0.4,
75931,132551132.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,134725129.0,"['-8.3722317', '-8.3677668', '-74.5592225', '-74.5426083']",-8.3702065,-74.5513933,"Avenida Miraflores, Nueve de Abril, Las Alamedas, Yarinacocha, Coronel Portillo, Ucayali, 250105, Perú",highway,tertiary,0.7000000000000001,
82803,130900549.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,128179308.0,"['-8.36959', '-8.3691952', '-74.5472651', '-74.5460894']",-8.36959,-74.5472651,"Calle 1, Fray Martín, Pucallpa, Callería, Coronel Portillo, Ucayali, 250105, Perú",highway,residential,0.5,
82857,170499755.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,286645944.0,"['-8.3855327', '-8.3824841', '-74.5323757', '-74.5280474']",-8.383775,-74.5305251,"Jirón Tarapacá, Centro Urbano de Pucallpa, Pucallpa, Callería, Coronel Portillo, Ucayali, 25001, Perú",highway,tertiary,0.4,
109736,130900549.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,128179308.0,"['-8.36959', '-8.3691952', '-74.5472651', '-74.5460894']",-8.36959,-74.5472651,"Calle 1, Fray Martín, Pucallpa, Callería, Coronel Portillo, Ucayali, 250105, Perú",highway,residential,0.5,
111111,186565249.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,363845771.0,"['-8.4120811', '-8.3990648', '-74.6590432', '-74.6079943']",-8.4054828,-74.6336414,"Carretera Federico Basadre, Nuevo San Juan, Yarinacocha, Coronel Portillo, Ucayali, Perú",highway,trunk,0.7905083629626835,
116506,132551132.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,134725129.0,"['-8.3722317', '-8.3677668', '-74.5592225', '-74.5426083']",-8.3702065,-74.5513933,"Avenida Miraflores, Nueve de Abril, Las Alamedas, Yarinacocha, Coronel Portillo, Ucayali, 250105, Perú",highway,tertiary,0.7000000000000001,
129346,268935028.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,878779232.0,"['-8.4287197', '-8.427884', '-74.5577631', '-74.5549622']",-8.4283044,-74.5566496,"Calle Los Girasoles, Manantay, Coronel Portillo, Ucayali, Perú",highway,residential,0.6,
157984,115836607.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,56460894.0,"['-8.4041611', '-8.4031997', '-74.5483169', '-74.543152']",-8.4035844,-74.5453204,"Calle 16, San Fernando, Manantay, Coronel Portillo, Ucayali, 25000, Perú",highway,residential,0.8,
158733,268935028.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,878779232.0,"['-8.4287197', '-8.427884', '-74.5577631', '-74.5549622']",-8.4283044,-74.5566496,"Calle Los Girasoles, Manantay, Coronel Portillo, Ucayali, Perú",highway,residential,0.6,
159164,169345435.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,276921990.0,"['-8.4293558', '-8.4272812', '-74.5575148', '-74.5495119']",-8.4283008,-74.5538676,"Jirón Las Margaritas, Manantay, Coronel Portillo, Ucayali, 25000, Perú",highway,residential,0.6,
208871,132444310.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,134175504.0,"['-8.3673011', '-8.3658823', '-74.5563', '-74.555798']",-8.3667618,-74.5561189,"Calle 1, Nueve de Abril, Las Alamedas, Yarinacocha, Coronel Portillo, Ucayali, 250105, Perú",highway,residential,0.9,
232587,121563996.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,91923743.0,"['-8.2904193', '-8.2723245', '-74.6376506', '-74.6282494']",-8.2819722,-74.6333764,"Jirón Juan Velasco Alvarado, 7 de Junio, Yarinacocha, Coronel Portillo, Ucayali, Perú",highway,tertiary,0.7000000000000001,
239029,170394937.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,284762027.0,"['-8.3680946', '-8.3659204', '-74.5677966', '-74.5653826']",-8.3673878,-74.5662453,"Jirón Callería, Edwin Díaz Paredes, Las Alamedas, Yarinacocha, Coronel Portillo, Ucayali, 25004, Perú",highway,residential,0.6,
15301,121563996.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,91923743.0,"['-8.2904193', '-8.2723245', '-74.6376506', '-74.6282494']",-8.2819722,-74.6333764,"Jirón Juan Velasco Alvarado, 7 de Junio, Yarinacocha, Coronel Portillo, Ucayali, Perú",highway,tertiary,0.7000000000000001,
64240,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
67771,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
71828,245320888.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,730053705.0,"['-12.2251493', '-12.2157932', '-76.9265661', '-76.9201483']",-12.2208652,-76.9229032292154,"Urbanización Pachacámac IV Etapa Sector 1 Barrio 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,1.15,
83649,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
97880,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
101985,138305219.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,158984912.0,"['-12.2418199', '-12.2375558', '-76.93676', '-76.9305558']",-12.2398752,-76.9333854,"Avenida C, Sector 10, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15837, Perú",highway,tertiary,0.7000000000000001,
109304,250049660.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,759897555.0,"['-12.2312469', '-12.2308317', '-76.9238199', '-76.9235762']",-12.2308679,-76.9237986,"Calle 7, Urbanización Pachacámac I Etapa, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15837, Perú",highway,residential,0.9,
121600,245320888.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,730053705.0,"['-12.2251493', '-12.2157932', '-76.9265661', '-76.9201483']",-12.2208652,-76.9229032292154,"Urbanización Pachacámac IV Etapa Sector 1 Barrio 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,1.15,
136315,330707489.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,1027492222.0,"['-12.2216528', '-12.2169395', '-76.9631972', '-76.9551838']",-12.2188356,-76.9584047,"Avenida Juan Velasco Alvarado, Sector 12, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15829, Perú",highway,secondary,0.9,
163936,244886977.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,730053704.0,"['-12.242866', '-12.2364122', '-76.9206399', '-76.9139211']",-12.23969795,-76.91731886340644,"Urbanización Pachacámac IV Etapa Sector 2 Barrio 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,1.05,
172311,245320888.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,730053705.0,"['-12.2251493', '-12.2157932', '-76.9265661', '-76.9201483']",-12.2208652,-76.9229032292154,"Urbanización Pachacámac IV Etapa Sector 1 Barrio 2, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.8500000000000001,
173009,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
181657,330707489.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,1027492222.0,"['-12.2216528', '-12.2169395', '-76.9631972', '-76.9551838']",-12.2188356,-76.9584047,"Avenida Juan Velasco Alvarado, Sector 12, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15829, Perú",highway,secondary,0.9,
212475,241202338.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,704102885.0,"['-12.2159391', '-12.2106667', '-76.931789', '-76.9285879']",-12.2133333,-76.930176,"Avenida Separadora Industrial, Sector 3, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15816, Perú",highway,residential,1.0,
237276,201678719.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,443905016.0,"['-12.2375134', '-12.236709', '-76.940278', '-76.9394036']",-12.23709655,-76.93998514548255,"Parque Sector 9 Grupo 4, Sector 9 Grupo 4, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",leisure,park,1.05,
27188,205544917.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,470028190.0,"['-12.2446227', '-12.2443167', '-76.9219098', '-76.9217175']",-12.2445922,-76.9217366,"Calle 104, Urbanización Pachacámac IV Etapa Sector 2 Barrio 4, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15841, Perú",highway,footway,0.775,
48940,213051615.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,521285765.0,"['-12.212554', '-12.2122529', '-76.9299779', '-76.9294583']",-12.2123523,-76.9296298,"Pasaje D, 6 de Agosto, Villa El Salvador, Lima, Lima Metropolitana, Lima, 15816, Perú",highway,service,0.675,
49873,244863773.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,730043478.0,"['-12.227001', '-12.2240812', '-76.9380436', '-76.9355509']",-12.2255412,-76.93679715666332,"Sector 3 Grupo 22A, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.8500000000000001,
62568,199496379.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,435551901.0,"['-12.2143995', '-12.213483', '-76.9468292', '-76.9460646']",-12.2139413,-76.94644687031013,"Parque Sector 2 Grupo 24A, Sector 2 Grupo 24A, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",leisure,park,1.05,
67214,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
115698,187829534.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,371289129.0,"['-12.1953138', '-12.1945707', '-76.9498594', '-76.948928']",-12.194947,-76.94939495014866,"Parque Sector 1 Grupo 13, Sector 1 Grupo 13, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",leisure,park,0.7500000000000001,
120926,249902162.0,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,760560755.0,"['-12.2162195', '-12.2146003', '-76.9249294', '-76.9225657']",-12.2154097,-76.92374737729827,"Las Malvinas, Villa El Salvador, Lima, Lima Metropolitana, Lima, Perú",place,neighbourhood,0.75,
